video_id,title,channel,category,publish_time,views,likes,comments,link
scGJUuYaB88,नाग पंचमी स्पेशल ~ नाग नागिन की दुःख भरी कहानी ~ आल्हा स्वर -संजो बघेल ~ Naag Panchami Katha,Sanjo Baghel Aalha,Music,2025-07-28T13:30:56Z,248551,1119,37,https://www.youtube.com/watch?v=scGJUuYaB88
gtzvGX22l10,Vikram Thakor | ભોળા નો ભગવાન વિક્રમ ઠાકોર | Trailer New Film 2025 | Bansri Films,Bansari Films,Music,2025-07-28T13:30:38Z,160994,9316,560,https://www.youtube.com/watch?v=gtzvGX22l10
E4ag_nJ-5Fo,[EN] 2025 PMWC at EWC Survival Stage D1 | PUBG MOBILE WORLD CUP at ESPORTS WORLD CUP,PUBG MOBILE Esports,Gaming,2025-07-29T16:01:31Z,660727,12110,112,https://www.youtube.com/watch?v=E4ag_nJ-5Fo
SBfjg2VDqXw,Raat Ke Shikari (Full Video) Masoom Sharma | Sweta Chauhan | Yash | New Haryanvi Song 2025 | Sonotek,Sonotek Music,Music,2025-07-28T06:46:33Z,623611,14463,423,https://www.youtube.com/watch?v=SBfjg2VDqXw
quS0KgQzCQ0,ANDAAZ 2 | Official Trailer | Aayush Kumar | Aakaisha | Natasha Fernandez | Suneel Darshan #andaaz2,Shree Krishna International,Entertainment,2025-07-28T12:30:03Z,5514634,51006,1500,https://www.youtube.com/watch?v=quS0KgQzCQ0
cP3bLjhtnOE,"Rs1 vs Rs1,00,000 Luxury Mountain Mining in Minecraft @ProBoiz95",Junkeyy,Gaming,2025-07-29T13:06:41Z,489623,12542,680,https://www.youtube.com/watch?v=cP3bLjhtnOE
pJAUCAiXJnE,नागपंचमी विशेष मराठी गाणी | भक्ती गीते | वारुळाला जाऊया नागोबाला पुजूया | Nag Panchami Marathi Songs,जय जय स्वामी समर्थ,People & Blogs,2025-07-29T00:00:54Z,416274,1575,76,https://www.youtube.com/watch?v=pJAUCAiXJnE
-YGE_N1mJUo,Paaji Tussi Dil Lelo ⋮ Avatar Fire And Ash Trailer Review,PJ Explained,Film & Animation,2025-07-29T05:42:50Z,215370,11546,955,https://www.youtube.com/watch?v=-YGE_N1mJUo
W6UX2FNRYEE,Long Slide Game With Cow Elephant Gorilla Hippopotamus Tiger 3d Animal Game Funny 3d Animals,King Queen 3D,People & Blogs,2025-07-29T13:51:26Z,921724,80009,4545,https://www.youtube.com/watch?v=W6UX2FNRYEE
ULoDF6uKO28,Radu Nako Bala Mi Panyala Jate | Original Song | Shivani Shinde | Gavlan | Sumeet Music,Sumeet Music,Music,2025-07-27T13:04:11Z,571530,8261,229,https://www.youtube.com/watch?v=ULoDF6uKO28
o-OCKLgwu1w,Avatar Fire and Ash Trailer • Reaction,thePJ,Gaming,2025-07-28T15:46:09Z,184924,12943,568,https://www.youtube.com/watch?v=o-OCKLgwu1w
Fgj-hLNda6o,ITACHI ASCENSION EVENT FREE FIRE | ITACHI BUNDLE TOKEN TOWER EVENT | FREE FIRE NEW EVENT ,JEROX GAMING,Gaming,2025-07-30T04:35:03Z,174447,5918,491,https://www.youtube.com/watch?v=Fgj-hLNda6o
Ht3cyzgve0E,#Video - #Raushan Rohi #रंगदारी #मगही गाना - फरार - #Srishti Bharti - #Rangdari #Maghi Song 2025,Raushan Rohi Entertainment,Music,2025-07-28T09:20:52Z,658906,48371,4393,https://www.youtube.com/watch?v=Ht3cyzgve0E
icDHOS6riDU,COOLIE -OFFICIAL TRAILER | Rajnikant | Nagarjuna | Amir Khan | Lokesh Kanagaraj| Anirudh Ravichander,"T Movies  • 8.5M views • 5 hours ago


.",People & Blogs,2025-07-26T13:18:08Z,174019,3645,30,https://www.youtube.com/watch?v=icDHOS6riDU
yX5O3-gYAaw,"I Got Legendary Itachi Bundle In 50,000 Diamonds 😱 Garena Free Fire ",LOKESH GAMER,Gaming,2025-07-30T05:47:13Z,242954,18113,2461,https://www.youtube.com/watch?v=yX5O3-gYAaw
BkXnmEOJXJw,"2025 नागपंचमी Special: नागपंचमी की कथा | Nag Panchami Song 2025, Nag Panchami Bhajan, Nag Panchami",Sonotek Bhakti,Music,2025-07-28T12:30:14Z,359695,2188,207,https://www.youtube.com/watch?v=BkXnmEOJXJw
